Título (Português);Instituição;Cidade Instituição;Empresa;Município;Local de Pesquisa;Grande Área do Conhecimento;Área do Conhecimento;Subárea do Conhecimento;Assuntos;
Rede distribuída de sondas para coleta de dados ambientais em locais de difícil acesso;;;;;;Interdisciplinar;;;Sensoriamento remoto:Coleta de dados:Monitoramento ambiental:Florestas:Sonda:Protótipo; 
Aplicativo para aumentar a adesão a tratamentos de saúde;;;;;;Ciências da Saúde;Saúde Coletiva;Saúde Pública;Prevenção de doenças:Estudo multidisciplinar:Comportamento alimentar:Doença crônica; 
Simula: sistema de apoio à decisão para competitividade com qualidade de vida: estudos e simulações do absenteísmo e presenteismo nas empresas;;;;;;Ciências Exatas e da Terra;Ciência da Computação;Metodologia e Técnicas da Computação;Modelagem de dados:Comportamento organizacional:Simulação por computador:Desenvolvimento de software:Absenteísmo:Presenteísmo; 
Sistema de planejamento dos recursos logísticos de atendimento a usuários geograficamente dispersos;;;;;;Engenharias;Engenharia de Produção;Pesquisa Operacional;Logística:Hipercubo:Socorro de urgência:Rodovias:Serviços de atendimento; 
Plataforma computacional integrada para identificação de sistemas;;;;;;Engenharias;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos;Identificação de sistemas:Plataforma (computação):Algoritmos:Controle de processos:Engenharia de software:MATLAB; 
Solução inteligente de autoatendimento para fornecimento automatizado de refeições completas;;;;;;Ciências Exatas e da Terra;Ciência da Computação;Sistemas de Computação;Softwares:Controle de processos:Linux:Autoatendimento:Refeições; 
Equipamento laboratorial roll-to-roll com comutação simples de seis ferramentas de deposição;;;;;;Ciências Exatas e da Terra;Física;Física da Matéria Condensada;Automação industrial:Eletrônica orgânica:Impressão; 
Onion Menu: cardápio inteligente de bolso;;;;;;Ciências Exatas e da Terra;Ciência da Computação;Metodologia e Técnicas da Computação;Aprendizado computacional:Aplicativos móveis:Dispositivos móveis:Mineração de dados:Cardápios; 
SIPRAD: Sistema de Planejamento Radioterápico;;;;;;Ciências da Saúde;Medicina;Radiologia Médica;Desenvolvimento de software:Radioterapia:Hospitais públicos:Brasil; 
Sistema nanoestruturado contendo fungicidas comerciais e naturais para a agricultura;;;;;;Ciências Exatas e da Terra;Física;Física da Matéria Condensada;Nanopartículas:Nanotecnologia:Óleos essenciais; 
Automatização dos processos de digitalização, mapeamento e identificação de provas durante o processo de correção de avaliações;;;;;;Ciências Exatas e da Terra;Matemática;Matemática Aplicada;Processamento de imagens:Digitalização:Visão computacional:Reconhecimento de padrões; 
PIPE High-Tech Entrepreneurial Training Program;Universidade de São Paulo (USP). Instituto de Matemática e Estatística (IME);São Paulo;;;;Interdisciplinar;;;Empreendedorismo:Inovação:Divulgação científica:Pesquisa científica:Eventos científicos e de divulgação:Reuniões científicas; 
Modificação de superfície de aços inoxidáveis, titânio puro e ligado para a prevenção da formação de biofilme: um estudo comparativo entre a engenharia de superfície e o uso de antibióticos;Universidade Estadual Paulista (UNESP). Campus de Botucatu. Instituto de Biotecnologia (IBTEC);Botucatu;;;;Interdisciplinar;;;Biomateriais:Aço inoxidável:Titânio:Biofilmes:Doenças infecciosas:Antibióticos:Estudo comparativo; 
Produção da gonadotrofina coriônica equina (eCG) no Brasil;;;Innovare Biotecnologia e Saúde Animal Ltda;Monte Aprazível;;Ciências Biológicas;Biofísica;Biofísica de Processos e Sistemas;Purificação de proteínas:Gonadotrofina coriônica:Rebanho:Bovinos:Reprodução animal; 
Desenvolvimento de uma rede de sensores-controladores sem fio para o monitoramento de conteúdo de água no solo para o manejo de irrigação;;;Dietech Automação Industrial e Robótica Ltda;São Carlos;;Ciências Agrárias;Engenharia Agrícola;Engenharia de Água e Solo;Umidade do solo:Produção agrícola:Irrigação:Sensoriamento remoto:Sensores:Lógica fuzzy; 
Desenvolvimento de software destinado à avaliação dos riscos de queda de árvores em áreas urbanas;;;Propark Paisagismo e Ambiente Ltda;Piracicaba;;Ciências Agrárias;Recursos Florestais e Engenharia Florestal;;Desenvolvimento de software:Biomecânica:Arborização:Árvores:Cidades:Manejo ambiental; 
Síntese de nanopartículas funcionalizadas em escala piloto;;;Nchemi Engenharia de Materiais Ltda;São Carlos;;Engenharias;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos;Nanotecnologia:Materiais nanoestruturados:Nanopartículas:Nanocristais:Óxidos metálicos:Produção em massa; 
Sistema computacional inteligente de suporte ao manejo de gado;;;Nitryx Consultoria e Informática Ltda;Campinas;;Ciências Exatas e da Terra;Ciência da Computação;Sistemas de Computação;Inteligência artificial:Redes neurais (computação):Automação:Pecuária:Pecuária extensiva:Manejo animal:Gado; 
Pesquisa e desenvolvimento de compostos químicos embalados em filmes hidrossolúveis para uso comercial como padrões em análises químicas;;;Sustentare Gestão e Treinamento Ltda;São Paulo;;Ciências Exatas e da Terra;Química;Química Analítica;Compostos químicos:Análise química:Dissolução:Controle da qualidade:Abastecimento de água:Biofilmes; 
Desenvolvimento de métodos e processos para a obtenção de leveduras Saccharomyces boulardii;;;Accert Pesquisa e Desenvolvimento em Química e Biotecnologia Ltda (ACCERT);São Carlos;;Ciências Exatas e da Terra;Química;Química Orgânica;Probióticos:Leveduras:Inovação:Saccharomyces:Microbioma gastrointestinal:Fermentação; 
Desenvolvimento de plataformas de sínteses químicas em regime de fluxo contínuo: obtenção de moléculas estratégicas para o mercado farmacêutico;;;Accert Pesquisa e Desenvolvimento em Química e Biotecnologia Ltda (ACCERT);São Carlos;;Ciências Exatas e da Terra;Química;Química Orgânica;Síntese orgânica:Indústria farmacêutica:Carbamazepina:Sinvastatina:Fluxo contínuo:Fármacos; 
Emprego de feixes de elétrons de baixa energia para o tratamento de efluentes gasosos industriais;;;Inovafi - Física Aplicada a Inovação Ltda;Campinas;;Engenharias;Engenharia Química;;Tratamento de águas residuárias:Tratamento de efluentes industriais:Acelerador de partículas:Medidores inteligentes:Elétrons:Indústria gráfica e editorial:Redução de custos; 
Desenvolvimento de compostos poliméricos a base de poliolefinas recicladas modificadas com farinha da casca do fruto de cacau;;;Afinko Soluções em Polímeros Ltda;São Carlos;;Engenharias;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos;Termoplásticos:Poliolefina:Polímeros (materiais):Cadeia produtiva:Fibras vegetais:Cascas (planta):Farinhas:Cacau; 
Perfil metabólico na produção in vitro de embriões bovinos: identificacao de biomarcadores de sucesso para qualidade embrionária;;;Achilles Genetics Biotecnologia em Reprodução Animal Ltda;Garça;;Ciências Agrárias;Medicina Veterinária;Reprodução Animal;Perfil metabólico:Perfil lipídico:Biomarcadores:Fertilização in vitro animal:Embrião de animal:Bovinos; 
Protótipo funcional de fresa acetabular a diâmetro variável para instrumentação universal em artroplastia total do quadril;;;Bioemergens Brasil Ltda;São José do Rio Preto;;Engenharias;Engenharia Biomédica;Engenharia Médica;Tecnologia biomédica:Cirurgia ortopédica:Artroplastia de quadril:Próteses ortopédicas:Protótipo; 
Dispositivo portátil para análise preditiva de pressão acústica de transdutores de ultrassom;;;Figlabs Pesquisa e Desenvolvimento Ltda (Figlabs);Ribeirão Preto;;Engenharias;Engenharia Biomédica;Bioengenharia;Técnicas e equipamentos analíticos, diagnósticos e terapêuticos:Equipamentos e provisões elétricas:Campo magnético:Transdutores de pressão:Sensores piezoelétricos:Ultrassom:Calibragem; 
Desenvolvimento de microcápsulas de defensivos agrícolas orgânicos por spray dryer;;;Labmaq do Brasil Ltda;Ribeirão Preto;;Ciências Agrárias;Agronomia;Fitossanidade;Embalagens de alimentos:Microencapsulação:Agricultura orgânica:Pesticidas:Bioensaio; 
Planejamento e desenvolvimento de nova entidade química como potencial inibidor de BRAF V600E para tratamento do melanoma;;;Alchemy Inovação, Pesquisa e Desenvolvimento Ltda;Santana de Parnaíba;;Ciências da Saúde;Medicina;;Síntese química:Inibidores enzimáticos:Inibidores de proteínas quinases:Melanoma:Quimioterapia:Antineoplásicos:Planejamento de fármacos:Drogas em investigação; 
Medicina regenerativa utilizando queratinócitos e fibroblastos ou melanócitos para terapia celular em úlceras cutâneas de diferentes etiologias e vitiligo;;;In Situ Terapia Celular Ltda;Paulínia;;Ciências da Saúde;Medicina;;Dermatologia:Cicatrização:Fibroblastos:Queimaduras:Melanócitos:Queratinócitos:Terapia baseada em transplante de células e tecidos:Vitiligo:Úlcera cutânea; 
Tampa em compósito para câmara de inspeção;;;Tecplas Indústria e Comércio Ltda. - EPP;São José dos Campos;;Engenharias;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos;Materiais compósitos:Energia elétrica:Consumo de energia elétrica; 
BeefTrader: plataforma de inteligência de informações de mercado para a maximização do lucro de produtores e da indústria frigorífica;;;Tech - Inovações Tecnológicas para a Agropecuária Ltda;Piracicaba;;Ciências Agrárias;Zootecnia;Produção Animal;Tomada de decisão:Programação linear:Programação não linear:Inteligência empresarial:Bases de dados:Comércio internacional:Frigoríficos; 
Desenvolvimento de formulações para controle de Leucocoprinus birnbaunii em viveiros de citros;;;Alk Agrícola Ltda. - ME;Engenheiro Coelho;;Ciências Biológicas;Microbiologia;;Microbiologia agrícola:Controle biológico:Fungos toxicogênicos:Citricultura:Citrus:Substratos; 
Sistema de gestão para otimizar o uso da água e energia na produção agrícola (SGAE);;;Geomap Ltda;São José dos Campos;;Ciências Agrárias;Agronomia;Agrometeorologia;Planejamento hídrico:Abastecimento de água:Reservatórios de água:Geração de energia elétrica:Sustentabilidade:Recursos naturais:Prevenção e mitigação:Monitoramento da água:Dispositivos móveis; 
Desenvolvimento de processo de comunicação para aproximação das partes interessadas e promoção do consumo de produtos e serviços sustentáveis no ambiente escolar;;;Umbu Negócios Ltda;Santana de Parnaíba;;Interdisciplinar;;;Administração da educação:Planejamento da comunicação:Marketing escolar:Comunicação:Relações pais-escola:Relação aluno-escola:Educação:Inovação:Desenvolvimento de software; 
Inovação tecnológica em restauração florestal e quantificação de custos e eficiência comparado com metodologias tradicionais;;;NBL Engenharia Ambiental Eireli - EPP;Piracicaba;;Ciências Agrárias;Recursos Florestais e Engenharia Florestal;Conservação da Natureza;Restauração florestal:Proteção florestal:Adubação:Semeadura:Plantas nativas:Mata Atlântica:Amazônia Brasileira:Redução de custos; 
SISCOM - Detecção, análise e diagnóstico de qualidade de combustíveis, consumo e emissão de CO2, transmissão de dados por GSM/GPRS/Bluetooth, software web de gestão operacional e aplicativo smartphone - veículo conectado: combustível, qualidade, consumo;;;T2V Indústria, Comércio e Serviços em Tecnologia Ltda. - ME;São Paulo;;Engenharias;Engenharia Mecânica;;Controle da qualidade:Combustíveis:Redes e comunicação de dados:Aplicativos móveis:Dispositivos móveis:Bluetooth:Eletrônica embarcada:Excelência operacional; 
Investigação fenomenológica do processo de separação e transporte pneumático de sólidos multiparticulados;Universidade de São Paulo (USP). Escola de Engenharia de São Carlos (EESC);São Carlos;;;;Engenharias;Engenharia Mecânica;Fenômenos de Transportes;Mecânica dos fluidos:Processos de separação:Bioenergia; 
Desenvolvimento de nova metodologia para batimetria multifeixe com o uso da moto aquática: rapidez e versatilidade na coleta de dados;;;Salt Sea & Limno Technology Consultoria Ambiental Ltda;São Paulo;;Ciências Exatas e da Terra;Oceanografia;Oceanografia Geológica;Geofísica:Hidrografia:Motonáutica:Batímetro:Coleta de dados; 
Bioprodução de enzimas para refino de celulose;;;;;;Ciências Biológicas;Genética;Genética Molecular e de Microorganismos;Escherichia coli:Biologia molecular:Bioprocessos:Celulose; 
Do big data ao mapa prospectivo de rotas tecnológicas;;;;;;Interdisciplinar;;;Gestão da inovação:Tecnologia:Big data; 
Desenvolvimento de métodos e processos para a obtenção de leveduras Saccharomyces boulardii;;;;;;Ciências Exatas e da Terra;Química;Química Orgânica;Probióticos:Leveduras:Saccharomyces boulardii:Microbioma gastrointestinal; 
Medicina regenerativa utilizando queratinócitos e fibroblastos ou melanócitos para terapia celular em úlceras cutâneas de diferentes etiologias e vitiligo;;;;;;Ciências da Saúde;Medicina;;Dermatologia:Medicina regenerativa:Queratinócitos:Fibroblastos:Melanócitos:Terapia baseada em transplante de células e tecidos:Úlcera cutânea:Vitiligo; 
BeefTrader: plataforma de inteligência de informações de mercado para a maximização do lucro de produtores e da indústria frigorífica;;;;;;Ciências Agrárias;Zootecnia;Produção Animal;Comércio internacional:Frigoríficos:Lucro:Informação:Modelagem computacional; 
Desenvolvimento de processo de comunicação para aproximação das partes interessadas e promoção do consumo de produtos e serviços sustentáveis no ambiente escolar;;;;;;Interdisciplinar;;;Desenvolvimento de software:Plataforma (computação):Comunicação:Sustentabilidade:Ambiente escolar:Consumo:Relação social; 
Nanotecnologia verde: desenvolvimento e avaliação de insumo cosmético sinérgico contendo ceramida do trigo, óleo de jojoba e óleo de castanha do Brasil;;;;;;Ciências da Saúde;Farmácia;Farmacotecnia;Nanotecnologia:Sustentabilidade:Cosméticos:Ceramidas:Trigo:Jojoba:Castanha; 
Tinta nanoestruturada para células fotovoltaicas orgânicas;;;;;;Engenharias;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos;Materiais nanoestruturados:Energia fotovoltaica:Tintas:Óxidos metálicos:Dispositivos eletrônicos:Energia renovável:Nanotecnologia:Nanopartículas; 
Framework híbrido de recomendação para o setor imobiliário baseado em informações geográficas e conjuntos big data;;;;;;Ciências Exatas e da Terra;Ciência da Computação;Metodologia e Técnicas da Computação;Sistemas de recomendação:Mercado imobiliário:Frameworks:Sistema de informação geográfica (SIG):Big data; 
Serviço de diagnóstico capilar personalizado para a consumidora final;;;;;;Engenharias;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos;Cosmetologia:Cabelo:Diagnóstico:Produtos químicos:Microscopia eletrônica de varredura; 
Método e dispositivo para detecção de arco elétrico através de ultrassom;;;;;;Engenharias;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação;Manutenção preditiva:Arco elétrico:Ultrassom:Descarga elétrica:Sensores piezoelétricos; 
Pesquisa e desenvolvimento de compostos químicos embalados em filmes hidrossolúveis para uso comercial como padrões em análises químicas;;;;;;Ciências Exatas e da Terra;Química;Química Analítica;Controle da qualidade:Análise química:Turbidez da água:Cor; 
Dispositivo portátil para análise preditiva de pressão acústica de transdutores de ultrassom;;;;;;Engenharias;Engenharia Elétrica;;Equipamentos e provisões:Processamento de sinais:Análise preditiva:Transdutores:Ultrassom; 
Sistema de gestão para otimizar o uso da água e energia na produção agrícola (SGAE);;;;;;Ciências Agrárias;Agronomia;Agrometeorologia;Uso eficiente da água:Energia:Gestão dos recursos naturais:Georreferenciamento:Produção agrícola:Irrigação agrícola:Sistema Cantareira:Sustentabilidade; 
Emprego de feixes de elétrons de baixa energia para o tratamento de efluentes gasosos industriais;;;;;;Engenharias;Engenharia Química;;Tratamento de águas residuárias:Sistemas de controle:Indústria gráfica e editorial:Poluentes industriais; 
Greg: acessibilidade ao currículo na sala de aula;;;;;;Ciências Humanas;Educação;Ensino-aprendizagem;Acessibilidade:Tecnologia educacional:Equipamentos de autoajuda:Currículos e programas:Design universal; 
Framework híbrido de recomendação para o setor imobiliário baseado em informações geográficas e conjuntos big data;;;;;;Ciências Exatas e da Terra;Ciência da Computação;Metodologia e Técnicas da Computação;Sistemas de recomendação:Mercado imobiliário:Frameworks:Sistema de informação geográfica (SIG):Big data; 
Desenvolvimento de uma rede de sensores-controladores sem fio para o monitoramento de conteúdo de água no solo para o manejo de irrigação;;;;;;Ciências Agrárias;Engenharia Agrícola;Engenharia de Água e Solo;Manejo do solo:Manejo da irrigação:Irrigação agrícola:Umidade do solo:Sensoriamento remoto; 
Extratos padronizados de Petroselinum crispum: fonte potencial de ativos diurético, antimicrobiano e antiviral;;;Cis Biomoléculas Ltda. - ME;Carapicuíba;;Ciências da Saúde;Farmácia;Farmacognosia;Medicamentos fitoterápicos:Anti-infecciosos:Antivirais:Diuréticos:Petroselinum:Controle da qualidade; 
Nanotecnologia verde: desenvolvimento e avaliação de insumo cosmético capilar sinérgico contendo ceramida do trigo, óleo de jojoba e óleo de castanha do Brasil;;;Capillare Serviços de Pesquisa e Inovação Ltda;São Paulo;;Ciências da Saúde;Farmácia;Farmacotecnia;Sustentabilidade:Nanotecnologia:Cosméticos:Cabelo:Ceramidas:Óleos vegetais:Castanha:Jojoba; 
Greg: acessibilidade ao currículo na sala de aula;;;Engrenar Tecnologia Ltda;São Roque;;Ciências Humanas;Educação;Ensino-aprendizagem;Currículos e programas:Tecnologia assistiva:Tecnologia educacional:Acessibilidade:Design universal:Design de interação; 
Sistema educacional online para o ensino híbrido;;;Mupi Tecnologia e Serviços de Informação Ltda. - ME;São Paulo;;Interdisciplinar;;;Tecnologia educacional:Ensino híbrido:Computador no ensino:Objetos de aprendizagem:Currículos e programas:Instituições acadêmicas:Tecnologias da informação e comunicação:Inovação na educação; 
Sistema de retenção de carga difusa em dispositivos de captação de água de chuva;;;Agesan Arquitetura e Engenharia Ltda;São Paulo;;Engenharias;Engenharia Sanitária;Saneamento Ambiental;Captação de recursos hídricos:Recursos hídricos:Água pluvial:Qualidade da água:Drenagem sanitária:Bacia hidrográfica:Poluição difusa; 
Virtual.Pyxis software;;;Virtualcae Comércio e Serviços de Sistemas Ltda. - EPP;São Caetano do Sul;;Engenharias;Engenharia Mecânica;Mecânica dos Sólidos;Análise numérica:Método dos elementos finitos:Desenvolvimento de software; 
Sonda sensora de deslizamento de terreno, empregando fibra óptica;;;Optolink Indústria e Comércio Sociedade Ltda;Campinas;;Interdisciplinar;;;Deslocamento (geologia estrutural):Sensores ópticos:Sensoriamento remoto:Fibra óptica:Sonda; 
Tinta nanoestruturada para células fotovoltaicas orgânicas;;;Nchemi Engenharia de Materiais Ltda;São Carlos;;Engenharias;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos;Nanopartículas:Nanotecnologia:Materiais nanoestruturados:Depósitos de combustível fóssil:Energia renovável:Energia solar; 
Obtenção de ácidos graxos de alto valor agregado a partir de biodiesel derivado de óleos pré-tratados via refino físico;;;BRP Inovação, Assessoria e Representação Comercial Ltda;Ribeirão Preto;;Engenharias;Engenharia Química;Tecnologia Química;Ácidos graxos:Biodiesel:Hidrólise:Catálise:Ésteres:Produção agrícola:Soja; 
Do Big Data ao mapa prospectivo de rotas tecnológicas;;;Inova Serviços de Digitalização e Preparação de Documentos Ltda. - ME;Cotia;;Interdisciplinar;;;Prospecção tecnológica:Big data:Mineração de dados:Inovações tecnológicas:Conhecimento científico; 
Desenvolvimento de nanopartícula para veiculação inovadora de ômega-3 (EPA + DHA) de liberação controlada na prevenção das doenças cardiovasculares;;;Ultrapan Indústria e Comércio Ltda;Valinhos;;Ciências da Saúde;Farmácia;Farmacotecnia;Ácidos graxos ômega-3:Doenças cardiovasculares:Nanotecnologia:Suplementos nutricionais:Biodisponibilidade:Fitosteróis; 
Serviço de diagnóstico capilar personalizado para a consumidora final;;;Kairos Lab Ltda. - ME;São Carlos;;Engenharias;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos;Cosmetologia:Cosméticos:Cabelo:Microscopia eletrônica de varredura:DNA; 
Framework híbrido de recomendação para o setor imobiliário baseado em informações geográficas e conjuntos Big Data;;;Enterup Tecnologia em Sistemas Ltda - ME;São José do Rio Preto;;Ciências Exatas e da Terra;Ciência da Computação;Metodologia e Técnicas da Computação;Sistemas de recomendação:Big data:Mercado imobiliário:Sistema de posicionamento global (GPS); 
Desenvolvimento de kit de imunocromatografia para erliquiose canina, utilizando a proteína recombinante p30;;;Immunodot Indústria e Pesquisa de Produtos para Diagnóstico Ltda. - ME;Jaboticabal;;Ciências Agrárias;Medicina Veterinária;Medicina Veterinária Preventiva;Erliquiose canina:Ehrlichia canis:Técnicas de diagnóstico animal:Imunocromatografia:Testes sorológicos:Kit de reagentes para diagnóstico; 
Método e dispositivo para detecção de arco elétrico através de ultrassom;;;Brax Indústria e Comércio de Máquinas e Equipamentos Eletrônicos Ltda;Rio Claro;;Engenharias;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação;Arco elétrico:Ultrassom:Descarga elétrica:Alta tensão:Sistemas elétricos:Atuadores piezoelétricos:Instalações elétricas; 
Uma investigação das novas técnicas de processamento de sinais para o desenvolvimento de um correlacionador acústico de baixo custo para detectar e localizar vazamentos em tubulações de água enterrados;Universidade Estadual Paulista (UNESP). Campus de Ilha Solteira. Faculdade de Engenharia (FEIS);Ilha Solteira;;;;Engenharias;Engenharia Mecânica;Mecânica dos Sólidos;Vazamentos de água; 
Método e dispositivo para detecção de arco elétrico através de ultrassom;;;;;;Engenharias;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação;Manutenção preditiva:Arco elétrico:Ultrassom:Descarga elétrica:Sensores:Piezoeletricidade; 
Do big data ao mapa prospectivo de rotas tecnológicas;;;;;;Interdisciplinar;;;Ciência:Inovações tecnológicas:Big data:Prospecção tecnológica; 
Desenvolvimento de kit de imunocromatografia para erliquiose canina, utilizando a proteína recombinante p30;;;;;;Ciências Agrárias;Medicina Veterinária;Medicina Veterinária Preventiva;Testes imunológicos:Imunocromatografia:Erliquiose canina; 
Influência de diferentes parâmetros da laserfototerapia (LFT) sobre a proliferação e a migração de células-tronco de polpa dentária humana;Universidade de São Paulo (USP). Faculdade de Odontologia (FO);São Paulo;;;;Ciências da Saúde;Odontologia;;Células-tronco:Polpa dentária:Movimento celular:Fototerapia:Laser; 
Desenvolvimento de compostos poliméricos a base de poliolefinas recicladas modificadas com farinha da casca do fruto de cacau;;;;;;Engenharias;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos;Polímeros (materiais):Poliolefina:Farinhas:Cacau:Termoplásticos:Fibras vegetais; 
Sistema educacional online para o ensino híbrido;;;;;;Interdisciplinar;;;Tecnologia educacional:Educação a distância:Ensino e aprendizagem:Tecnologias da informação e comunicação:Ensino híbrido:Inovação na educação; 
Do big data ao mapa prospectivo de rotas tecnológicas;;;;;;Interdisciplinar;;;Big data:Prospecção tecnológica; 
Desenvolvimento de formulações para controle de Leucocoprinus birnbaunii em viveiros de citros;;;;;;Ciências Biológicas;Microbiologia;;Microbiologia agrícola:Controle biológico:Agaricales:Leucocoprinus birnbaunii:Viveiros:Citrus; 
Planejamento e desenvolvimento de nova entidade química como potencial inibidor de BRAF V600E para tratamento do melanoma;;;;;;Ciências da Saúde;Medicina;;Oncologia:Melanoma:Síntese química:Antineoplásicos:Proteínas quinases:Inibidores de proteínas quinases:Fármacos:Drogas em investigação; 
Sistema educacional online para o ensino híbrido;;;;;;Interdisciplinar;;;Tecnologia educacional:Educação a distância:Tecnologias da informação e comunicação:Ensino híbrido:Inovação na educação; 
Extratos padronizados de Petroselinum crispum: fonte potencial de ativos diurético, antimicrobiano e antiviral;;;;;;Ciências da Saúde;Farmácia;Farmacognosia;Química de produtos naturais:Fitoquímica:Petroselinum:Anti-infecciosos:Medicamentos fitoterápicos:Extratos vegetais:Plantas medicinais; 
Revisão bibliográfica de modelos de turbulência k-w newtonianos para implementação de fechos viscoelásticos;Universidade Estadual Paulista (UNESP). Campus de Sorocaba. Instituto de Ciência e Tecnologia;Sorocaba;;;;Engenharias;Engenharia Mecânica;Fenômenos de Transportes;Geometria complexa:Escoamento:Turbulência:Fluidos viscoelásticos:Fluido newtoniano:Fenômenos de transporte:Simulação numérica:Pesquisa bibliográfica; 
Produção de insetos e desenvolvimento de uma nova metodologia e dispositivo para infestação artificial de experimentos a campo com ovos de lepidópteros;;;;;;Ciências Agrárias;Agronomia;Fitossanidade;Entomologia:Helicoverpa armigera:Spodoptera:Spodoptera frugiperda:Insetos-praga:Pragas de plantas:Controle de pragas:Lepidópteros; 
Efetorômica: efetores como novas ferramentas para o controle de Phytophthora parasitica, agente da gomose e podridão de raízes dos citros.;Secretaria de Agricultura e Abastecimento (São Paulo - Estado). Agência Paulista de Tecnologia dos Agronegócios (APTA). Instituto Agronômico (IAC);Campinas;;;;Ciências Agrárias;Agronomia;Fitossanidade;Genomas:Interação planta-patógeno; 
Titulador digital;;;Keme Desenvolvimento e Comércio de Instrumentos Científicos Ltda;Campinas;;Ciências Exatas e da Terra;Química;Química Analítica;Técnicas de química analítica:Técnicas de pesquisa:Instrumentação analítica:Análise química:Titulometria; 
Aproveitamento do extrato residual de Artemisia annua L., resultante da extração do sesquiterpeno antimalárico, em aplicações cosméticas;;;Soraya El Khatib - EPP;Campinas;;Ciências da Saúde;Farmácia;Farmacotecnia;Cosmetologia:Sustentabilidade:Cosméticos:Artemisia annua:Extratos vegetais; 
Produção de insetos e desenvolvimento de uma nova metodologia e dispositivo para infestação artificial de experimentos a campo com ovos de lepidópteros;;;CL Empreendimentos Biológicos Ltda. - EPP;Piracicaba;;Ciências Agrárias;Agronomia;Fitossanidade;Entomologia:Cultivos agrícolas:Pragas de plantas:Lepidoptera:Spodoptera:Algodão:Milho:Soja:Cana-de-açúcar; 
Personalização da leitura por meio de ferramentas de classificação automática de complexidade e adaptação textual: leitura em níveis crescentes de dificuldade para alunos do ensino fundamental;;;Guten Educação e Tecnologia Ltda. - EPP;São Paulo;;Ciências Exatas e da Terra;Ciência da Computação;;Linguística computacional:Processamento de linguagem natural:Compreensão da leitura:Leitura:Qualidade da educação:Analfabetismo; 
IntelliFerti - equipamento de fertirrigção inteligente;;;R4F Tecnologia em Telecomunicações Ltda;Campinas;;Ciências Agrárias;Engenharia Agrícola;Máquinas e Implementos Agrícolas;Fertirrigação:Cultivo protegido:Controle de processos:Nutrição vegetal:Fertilizantes; 
Desenvolvimento de uma unidade de transporte aeromédico de pacientes compacta e nacional;;;LHColus Tecnologia Ltda. - ME;São José dos Campos;;Engenharias;Engenharia Aeroespacial;Sistemas Aeroespaciais;Serviços médicos de emergência:Transporte de pacientes:Unidades de terapia intensiva:Resgate aéreo:Aeronaves; 
IECG - eletrocardiógrafo miniaturizado para monitorização médica remota;;;Ventrix Holding S/A;Cotia;;Engenharias;Engenharia Biomédica;Engenharia Médica;Telemedicina:Cardiologia:Testes de função cardíaca:Eletrocardiografia:Cardiopatias:Infarto do miocárdio; 
SmaA 7 - Sistema de monitoramento ambiental aquático ;;;Seip 7 Indústria e Comércio de Máquinas Ltda. - ME;Sorocaba;;Ciências Exatas e da Terra;Oceanografia;;Monitoramento ambiental:Segurança ambiental:Vazamento de resíduos químicos:Petróleo:Sensores:Alarme; 
Análise de viabilidade técnica-comercial de simuladores sintéticos do tecido biológico para treinamento em procedimentos médicos guiados por ultrassom;;;Felipe Wilker Grillo - ME;Ribeirão Preto;;Engenharias;Engenharia Biomédica;;Ultrassom:Anestesia local:Tecidos (anatomia):Glândula tireoide:Treinamento profissional; 
7 Maravilhas antigas em realidade virtual;;;Naked Monkey Ltda. - ME;São Paulo;;Interdisciplinar;;;Computação gráfica:Realidade virtual:Arqueologia histórica:Arquitetura antiga:Monumentos:Métodos de ensino; 
Sistema nanoestruturado contendo fungicidas comerciais e naturais para a Agricultura;;;;;;Ciências Exatas e da Terra;Física;Física da Matéria Condensada;Nanotecnologia:Agricultura:Soja:Nanopartículas:Fungicidas:Eugenol; 
Produção da proteína STC1 e anticorpos monoclonais para fins terapêuticos ou de acompanhamento da resposta clínica na leucemia linfóide aguda;;;;;;Ciências Biológicas;Biologia Geral;;Biotecnologia:DNA recombinante:Stanniocalcina-1:Anticorpos monoclonais:Leucemia-linfoma linfoblástico de células precursoras:Baculoviridae:ELISA; 
Desenvolvimento de um aplicativo mobile para acesso a informações sobre o mercado florestal brasileiro;;;;;;Ciências Agrárias;Recursos Florestais e Engenharia Florestal;;Acesso à informação:Gestão da informação:Aplicativos móveis:Florestas:Brasil; 
Titulador digital;;;;;;Ciências Exatas e da Terra;Química;Química Analítica;Instrumentação analítica:Volumetria:Eletrônica digital; 
