Empresa;Área do Conhecimento;Subárea do Conhecimento
R4F Tecnologia em Telecomunicações Ltda;Engenharia Elétrica;Telecomunicações
Zanetti e Mattei Informática Ltda;Economia;Métodos Quantitativos em Economia
Manoel Soares Neto Automação Industrial - ME;Engenharia Mecânica;Projetos de Máquinas
Scheme Lab Propriedade Industrial S/S Ltda;Genética;Genética Humana e Médica
Logtrac - Consultores Associados S/S Ltda;Engenharia de Transportes;Veículos e Equipamentos de Controle
Medidores Meier & Giacaglia Ltda. - ME;Engenharia Mecânica;Fenômenos de Transportes
Brasil Ozônio Indústria e Comércio de Equipamentos e Sistemas S/A;Engenharia Biomédica;Engenharia Médica
DMC Importação e Exportação de Equipamentos Ltda;Engenharia Biomédica;Bioengenharia
Verdartis Desenvolvimento Biotecnológico Ltda. - ME;Engenharia Química;Processos Industriais de Engenharia Química
Opto Eletrônica S/A;Física;Física da Matéria Condensada
Fisher Piscicultura Água Vermelha Ltda;Recursos Pesqueiros e Engenharia de Pesca;Aquicultura
R M T Tage Biaggio - ME;Bioquímica;Bioquímica de Microorganismos
Imag Indústria e Comércio de Componentes Eletrônicos Ltda (IMAG);Engenharia de Materiais e Metalúrgica;Metalurgia de Transformação
Fit Comércio, Importação e Exportação de Máquinas e Equipamentos Odonto-Médicos Hospitalares e Laboratoriais Ltda;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
Empreende Plano de Negócio Treinamentos Ltda. - ME;Administração;Administração de Empresas
Capataz - Estatores Motores e Geradores Elétricos Eireli - ME;Engenharia Elétrica;Sistemas Elétricos de Potência
LCR Kimera Biotecnologia Ltda;Medicina Veterinária;Reprodução Animal
Nanomed Nanotecnologia em Saúde e Bem-Estar Eireli;Física;Física da Matéria Condensada
Atenatec Soluções Tecnológicas Ltda. - ME;Ciência da Computação;Sistemas de Computação
Nano Separation Technologies Indústria, Comércio e Representações Ltda;Química;Química Analítica
Solarmind Indústria e Comércio Ltda;Engenharia Mecânica;Processos de Fabricação
Altave Indústria, Comércio e Exportação de Aeronaves S/A;Engenharia Aeroespacial;Sistemas Aeroespaciais
Dnapta Biotecnologia Ltda;Farmacologia;Farmacologia Bioquímica e Molecular
KNE Plast Indústria Comércio Ltda. - ME;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Algaetech Pesquisa Ltda. - ME;Química;Química Analítica
Green Technologies Projetos Agroindustriais S/C Ltda;Ciência e Tecnologia de Alimentos;Tecnologia de Alimentos
Pullup Soluções Sistemas Eletrônicos Ltda;Engenharia Elétrica;Circuitos Elétricos, Magnéticos e Eletrônicos
Scipopulis Desenvolvimento e Análise de Dados Ltda;Ciência da Computação;Sistemas de Computação
Opusphere Desenvolvimento, Consultoria em Tecnologia da Informação e Gestão de Processos Ltda;Educação;Ensino-aprendizagem
SW2 Soluções em TI Ltda. - ME;Odontologia;Clínica Odontológica
Labmass Laboratory  Laboratório de Análise Química, Consultoria e Treinamento Ltda. - ME;Farmácia;Análise e Controle de Medicamentos
Inreservoir Solutions - Projetos e Pesquisas em Ciências e Engenharia de Petróleo Ltda;Engenharia Mecânica;Fenômenos de Transportes
Solstício Energia Comércio, Importação e Exportação Ltda;Engenharia Civil;Construção Civil
Cis Biomoléculas Ltda. - ME;Química;Química Orgânica
DMA Indústria e Tecnologia Eireli - EPP;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
Área Química Ltda;Química;Química Inorgânica
Inreservoir Solutions - Projetos e Pesquisas em Ciências e Engenharia de Petróleo Ltda;Engenharia Mecânica;Fenômenos de Transportes
In Vitro Brasil Ltda;Medicina Veterinária;Reprodução Animal
Opto Eletrônica S/A;Física;Física da Matéria Condensada
Iti Inovação em Tecnologia da Informação Ltda;Ciência da Computação;Sistemas de Computação
Elabora P&D, Computação e Sistemas de Informática Ltda;Ciência da Computação;Sistemas de Computação
Revolugenix Biotecnologia, Pesquisa e Desenvolvimento Ltda;Engenharia Biomédica;Bioengenharia
Glyom Pesquisas Tecnológicas em Glicerina Ltda;Química;Físico-química
Terra Azul Tecnologia de Polímeros Naturais Ltda;Bioquímica;Química de Macromoléculas
TEC3GEO Geotecnologias para o Meio Ambiente Ltda. - ME;Geociências;Geofísica
Centagro - Centro Tecnológico Agropecuário Ltda;Farmácia;Farmacognosia
Areda e Escudeiro Ltda. - ME;Farmácia;Farmacotecnia
Piaram Produtos Nanotecnológicos, Assessoria, Pesquisa e Desenvolvimento de Produtos e Processos Químicos Ltda;Ciência e Tecnologia de Alimentos;Engenharia de Alimentos
Binderware Ciência e Tecnologia em Biomateriais Ltda. - EPP;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Acen Microeletrônica Ltda;Engenharia Elétrica;Circuitos Elétricos, Magnéticos e Eletrônicos
Spinnano Semicondutores Indústria e Comércio Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Leona Indústria e Comércio de Materiais e Ligas Odontológicas e Médicas Ltda. - ME;Engenharia de Materiais e Metalúrgica;Metalurgia de Transformação
XMobots Aeroespacial e Defesa Ltda. - ME (XMobots);Engenharia Aeroespacial;Sistemas Aeroespaciais
Onion Tecnologia Ltda. - ME;Ciência da Computação;Sistemas de Computação
Pluricell Biotech Pesquisa e Desenvolvimento Ltda. - ME;Genética;Genética Humana e Médica
Vivax Serviços Ltda;Engenharia Biomédica;Bioengenharia
Calil & Icimoto Madeiras Ltda;Recursos Florestais e Engenharia Florestal;Tecnologia e Utilização de Produtos Florestais
XMobots Aeroespacial e Defesa Ltda. - ME (XMobots);Engenharia Aeroespacial;Sistemas Aeroespaciais
Mvisia Desenvolvimentos Inovadores Ltda;Ciência da Computação;Sistemas de Computação
Acquest Geologia e Geofísica Subaquática Ltda;Engenharia de Produção;Pesquisa Operacional
Partecurae Pesquisa e Desenvolvimento Ltda;Agronomia;Fitossanidade
Fabio Nakashima e Outro;Zootecnia;Produção Animal
Agromic Pesquisa, Produção e Comércio de Insumos Biológicos Ltda;Microbiologia;Microbiologia Aplicada
CFLEX Computação Flexível Aplicada Ltda;Ciência da Computação;Metodologia e Técnicas da Computação
Pullup Soluções Sistemas Eletrônicos Ltda;Engenharia Elétrica;Circuitos Elétricos, Magnéticos e Eletrônicos
Fermentec Assistência Técnica em Fermentação Alcoólica Ltda;Microbiologia;Microbiologia Aplicada
Pluricell Biotech Pesquisa e Desenvolvimento Ltda. - ME;Genética;Genética Humana e Médica
Limpgas Tecnologia em Descarte de Gases Industriais Ltda (Limpgas);Física;Física da Matéria Condensada
Zuggi Tecnologia e Comércio Ltda. - ME;Ciência da Computação;Sistemas de Computação
Doppia M Projetos Socioculturais e Serviços Administrativos Ltda;Artes;Teatro
Time Energy Indústria e Comércio Eireli - EPP;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
Promip Comércio, Pesquisas e Desenvolvimento de Agentes Biológicos Ltda (PROMIP);Zoologia;Zoologia Aplicada
In Gene Biotecnologia Ltda;Genética;Genética Humana e Médica
Embriofert Clínica Médica Hospitalar Ltda;Bioquímica;Química de Macromoléculas
Dínamo Automação Industrial Ltda;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
Tambora Engenharia de Materiais Metálicos e Industriais Ltda;Engenharia Mecânica;Processos de Fabricação
Ams Kleper Engenharia de Sistemas Ltda;Ciência da Computação;Metodologia e Técnicas da Computação
Jetquímica Indústria e Comércio Ltda. - ME;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Electric Dreams Engenharia da Mobilidade Ltda;Engenharia Aeroespacial;Aerodinâmica
Mobwise Consultoria em Engenharia e Softwares Ltda;Ciência da Computação;Sistemas de Computação
Nanox Tecnologia S/A;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Florilegus Comércio e Serviços Ltda;Zoologia;Zoologia Aplicada
Altave Indústria, Comércio e Exportação de Aeronaves S/A;Engenharia Aeroespacial;Sistemas Aeroespaciais
Mikro Metais Comercial Ltda;Química;Química Inorgânica
Mmtech Projetos Tecnológicos Importação e Exportação Ltda;Odontologia;Materiais Odontológicos
Red, Orange and Green Tecnologias Ambientais Ltda;Engenharia de Minas;Pesquisa Mineral
Elabora Biosolutions Bioengenharia Bioprocessos e Inovação Ltda;Ciência e Tecnologia de Alimentos;Tecnologia de Alimentos
Surface - Engenharia e Soluções a Plasma Ltda;Física;Física dos Fluídos, Física de Plasmas e Descargas Elétricas
GRAUTEC PDI Serviços de Consultoria Farmacêuticas Ltda;Farmácia;Farmacotecnia
DPR Engenharia Assessoria e Consultoria em Projetos da Área Petrolífera Ltda;Engenharia Naval e Oceânica;Projeto de Navios e de Sistemas Oceânicos
Tagg Equipamentos e Serviços para Agroindústria, Agropecuária e Meio Ambiente Ltda;Física;Física da Matéria Condensada
Zuannon Projetos Visuais Ltda;Desenho Industrial;Desenho de Produto
Sppt Pesquisas Tecnológicas Ltda;Física;Física Geral
Apis Flora Industrial e Comercial Ltda;Farmácia;Farmacognosia
Synbeeosis Indústria e Comércio de Produtos Ambientais Ltda (Synbeeosis);Engenharia Mecânica;Fenômenos de Transportes
Selsan Tecnologia Industrial e Comercial Ltda. - ME;Engenharia Elétrica;Telecomunicações
Wolff Biotec - Pesquisa e Desenvolvimento Ltda. - ME;Microbiologia;Microbiologia Aplicada
Sysport Sistemas Aeroportuários Ltda (SysPort);Ciência da Computação;Sistemas de Computação
Tecplas Indústria e Comércio Ltda. - EPP;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Espaço Forma e Projetos Ltda;Engenharia Mecânica;Projetos de Máquinas
Condor Instruments Ltda;Engenharia Biomédica;Engenharia Médica
Koppert do Brasil Holding Ltda (Koppert);Agronomia;Fitossanidade
In Vitro Brasil Ltda;Medicina Veterinária;Reprodução Animal
Ecomol Consultoria e Projetos Ltda. - ME;Ecologia;Ecologia Aplicada
Finamac Arpifrio Engenharia e Industrialização de Equipamentos Industriais Ltda (Finamac);Engenharia Mecânica;Projetos de Máquinas
Instrumentos Veterinários Palhetas do Brasil Ltda;Medicina Veterinária;Reprodução Animal
Top in Life Biotecnologia e Genética Animal Ltda;Medicina Veterinária;Reprodução Animal
Natural Products & Technologies Ltda. - ME;Zootecnia;Nutrição e Alimentação Animal
Abili Assessoria Técnica Comercial e Tecnologia da Informação Ltda (Abili);Engenharia Civil;Construção Civil
CHEM4U Indústria e Comércio de Equipamento e Produtos Químicos Ltda. - ME;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Synbeeosis Indústria e Comércio de Produtos Ambientais Ltda (Synbeeosis);Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
Maria Teresa P Egreja Camargo - ME;Engenharia Agrícola;Engenharia de Processamento de Produtos Agrícolas
Victor Vision Indústria, Comércio, Importação e Exportação de Equipamentos Médicos Odontológicos Ltda;Engenharia Biomédica;Engenharia Médica
Compsis Computadores Sistemas Indústria e Comércio Ltda;Ciência da Computação;Sistemas de Computação
Pedro Siena Neto;Ciência da Computação;Sistemas de Computação
Deoxi Biotecnologia Ltda;Genética;Genética Animal
Smartbio Desenvolvimento Tecnológico Ltda (Smartbio);Agronomia;Fitossanidade
Technomar Engenharia Ltda;Engenharia Mecânica;Projetos de Máquinas
BR Tecnologia em Bebidas Ltda;Física;Física Atômica e Molecular
Dados & Cenários Consultoria Ltda;Engenharia de Produção;Engenharia Econômica
Salt Sea & Limno Technology Consultoria Ambiental Ltda;Oceanografia;Oceanografia Física
Directlight Indústria e Comércio de Produtos Eletroluminescentes Ltda;Ciência Política;Políticas Públicas
Mprojects Soluções em Informática Ltda;Economia;Economia do Bem-estar Social
Keme Desenvolvimento e Comércio de Instrumentos Científicos Ltda;Química;Química Analítica
Dnapta Biotecnologia Ltda;Imunologia;Imunologia Aplicada
Inprenha Biotecnologia e Desenvolvimento Animal Ltda;Medicina Veterinária;Reprodução Animal
Verdaz Gestão Sustentável e Consultoria Ambiental Ltda (Verdaz);Ciência da Computação;Sistemas de Computação
Pergaminno Inovação na Agricultura Ltda;Engenharia Mecânica;Projetos de Máquinas
Geodez Consultoria em Cerâmica Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Chemyunion Ltda;Farmacologia;Farmacologia Geral
Apis Flora Industrial e Comercial Ltda;Microbiologia;Microbiologia Aplicada
Innovatech Telecom Indústria e Comércio de Equipamentos Eletrônicos e de Telecomunicações Ltda (Innovatech);Engenharia Elétrica;Telecomunicações
Fermentec Assistência Técnica em Fermentação Alcoólica Ltda;Microbiologia;Microbiologia Aplicada
Educommatica Educação, Comunicação e Informática S/C Ltda. - EPP;Educação;Tópicos Específicos de Educação
Criteria Indústria e Comércio, Importação e Exportação de Produtos Medicinais Odontológicos Ltda;Engenharia Biomédica;Bioengenharia
Rehder Consultoria de Engenharia e Idiomas Ltda;Engenharia de Transportes;Veículos e Equipamentos de Controle
DPR Engenharia Assessoria e Consultoria em Projetos da Área Petrolífera Ltda;Engenharia Naval e Oceânica;Estruturas Navais e Oceânicas
RMF Consultoria S/C Ltda;Economia;Economia Monetária e Fiscal
Accert Pesquisa e Desenvolvimento em Química e Biotecnologia Ltda (ACCERT);Química;Química Orgânica
RK Indústria e Comércio Ltda;Ciência da Computação;Sistemas de Computação
Solo Sapiens Indústria e Comércio de Inoculantes Ltda;Microbiologia;Microbiologia Aplicada
Manoel Soares Neto Automação Industrial - ME;Engenharia Mecânica;Projetos de Máquinas
Elabora P&D, Computação e Sistemas de Informática Ltda;Ciência da Computação;Sistemas de Computação
Medecell do Brasil Comércio e Importação Ltda (Medecell);Engenharia Biomédica;Engenharia Médica
Libera Tecnologia e Inovação Ltda;Engenharia Química;Tecnologia Química
Metamáquina Comércio de Kits Eletrônicos Ltda;Engenharia de Produção;Engenharia do Produto
Narcissus Pesquisa Clínica e Biotecnologia Ltda. - ME;Medicina;Clínica Médica
G Todesco Tecnologia;Ciência da Computação;Sistemas de Computação
Acaimazon Pesquisa, Indústria e Comércio de Açai Ltda;Ciência e Tecnologia de Alimentos;Ciência de Alimentos
Algae Biotecnologia Ltda (ALGAE);Microbiologia;Microbiologia Aplicada
Foco Ambiental Indústria e Comércio Ltda (FOCO);Engenharia Sanitária;Saneamento Ambiental
Compumédica Informática Ltda;Ciência da Computação;Sistemas de Computação
Tecplas Indústria e Comércio Ltda. - EPP;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
NCB Sistemas Embarcados Ltda;Engenharia Elétrica;Telecomunicações
Planner Consultoria de Informática e Traduções Técnicas Ltda;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
Intecmat Indústria e Tecnologia em Materiais Compostos Poliméricos Ltda (InTecMat);Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Labmaq do Brasil Ltda;Farmácia;Farmacotecnia
Solo Sapiens Indústria e Comércio de Inoculantes Ltda;Microbiologia;Microbiologia Aplicada
Virtue Participações Ltda;Engenharia Civil;Construção Civil
Mobwise Consultoria em Engenharia e Softwares Ltda;Ciência da Computação;Sistemas de Computação
CHR Cerâmica Técnica Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Clave Biotecnologia Serviços e Consultoria Ltda. - EPP;Bioquímica;Biologia Molecular
D A Software e Serviços S/A;Ciência da Computação;Sistemas de Computação
Salt Sea & Limno Technology Consultoria Ambiental Ltda;Geociências;Geofísica
CLE Comércio de Equipamentos e Serviços Ltda;Ciência e Tecnologia de Alimentos;Engenharia de Alimentos
Nanofitotec Inovação em Fitoterápicos Eireli;Farmácia;Farmacotecnia
Tecnologia e Ciência Educacional Ltda (TECE);Educação;Tópicos Específicos de Educação
Bioforte Farmacêutica Ltda;Química;Química Orgânica
Deoxi Biotecnologia Ltda;Genética;Genética Humana e Médica
Incon Eletrônica Ltda. - EPP;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
Veritas Biotecnologia Ltda (VLS);Bioquímica;Bioquímica de Microorganismos
Agromic Pesquisa, Produção e Comércio de Insumos Biológicos Ltda;Microbiologia;Microbiologia Aplicada
Jhaady Indústria, Comércio, Importação e Exportação de Cosméticos Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Genotyping Laboratório de Biotecnologia Ltda (Genotyping);Genética;Genética Molecular e de Microorganismos
Invent Biotecnologia Ltda. - ME;Bioquímica;Química de Macromoléculas
Apis Flora Industrial e Comercial Ltda;Farmácia;Farmacotecnia
Scheme Lab Propriedade Industrial S/S Ltda;Genética;Genética Humana e Médica
Perception Comércio e Serviços de Informática Ltda;Engenharia Elétrica;Telecomunicações
Nexxto Serviços em Tecnologia da Informação S/A;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
MTW Biosciences Prestação de Serviços de Assessoria Química Ltda;Química;Química Orgânica
Keme Desenvolvimento e Comércio de Instrumentos Científicos Ltda;Química;Química Analítica
Kryptus Segurança da Informação Ltda;Ciência da Computação;Sistemas de Computação
Lining Representação, Consultoria e Projetos Ltda. - ME;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
RK Indústria e Comércio Ltda;Ciência da Computação;Sistemas de Computação
Sencer Indústria e Comércio de Sensores Cerâmicos Ltda. - ME;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Sapra S/A;Engenharia Biomédica;Engenharia Médica
Abili Assessoria Técnica Comercial e Tecnologia da Informação Ltda (Abili);Engenharia Civil;Construção Civil
Orbys Desenvolvimento de Tecnologia de Materiais Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Eudora Energia Ltda;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
Partecurae Pesquisa e Desenvolvimento Ltda;Imunologia;Imunologia Aplicada
Cuesta Aquicultura Serviços de Apoio a Aquicultura Ltda. - ME;Recursos Pesqueiros e Engenharia de Pesca;Aquicultura
Biopdi Indústria, Comércio, Importação e Exportação de Equipamentos Médicos Odontológicos Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Kidopi Soluções em Informática Médica Ltda (Kidopi);Engenharia Biomédica;Engenharia Médica
Technomar Engenharia Ltda;Engenharia Mecânica;Projetos de Máquinas
IQX Inove Qualyx Tecnologia e Desenvolvimento em Resinas Ltda;Química;Físico-química
Rad Tech Sistemas Médicos Ltda;Biofísica;Radiologia e Fotobiologia
Acen Microeletrônica Ltda;Engenharia Elétrica;Circuitos Elétricos, Magnéticos e Eletrônicos
Tech Chrom Instrumentos Analíticos Ltda. - ME;Química;Química Analítica
Clorovale Diamantes Indústria e Comércio Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
NCB Sistemas Embarcados Ltda;Engenharia Elétrica;Telecomunicações
Veridis Tecnologia da Informação Ltda;Ciência da Computação;Metodologia e Técnicas da Computação
Saveway Comércio e Representações de Softwares Ltda;Engenharia de Produção;Engenharia do Produto
Chancelier Jóias Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Marcelo Simioni Pontes - ME;Nutrição;Desnutrição e Desenvolvimento Fisiológico
Agricef Soluções Tecnológicas para Agricultura Ltda (Agricef);Engenharia Agrícola;Máquinas e Implementos Agrícolas
Clorovale Diamantes Indústria e Comércio Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Vorsprung Projetos Industriais Ltda (VPI);Engenharia Sanitária;Recursos Hídricos
R4F Tecnologia em Telecomunicações Ltda;Engenharia Elétrica;Telecomunicações
Immunocamp Comércio de Produtos Hospitalares Ltda;Saúde Coletiva;Saúde Pública
Gentros Pesquisa e Desenvolvimento Ltda;Bioquímica;Biologia Molecular
Indústria Brasileira do Peixe Ltda;Ciência e Tecnologia de Alimentos;Tecnologia de Alimentos
Areda e Escudeiro Ltda. - ME;Farmácia;Farmacotecnia
Zyal Tech Desenvolvimento de Cerâmicas Especiais Ltda;Odontologia;Materiais Odontológicos
Sensoft Indústria e Automação Ltda;Engenharia Biomédica;Engenharia Médica
Tezca Pesquisa e Desenvolvimento de Células Solares Ltda (TEZCA);Química;Química Inorgânica
Altave Indústria, Comércio e Exportação de Aeronaves S/A;Engenharia Aeroespacial;Sistemas Aeroespaciais
Ecomedical Produtos Hospitalares Ltda;Engenharia de Produção;Engenharia do Produto
Nanomed Nanotecnologia em Saúde e Bem-Estar Eireli;Física;Física da Matéria Condensada
Rotar Empresa de Projetos Consultoria e Assessoria Ltda;Agronomia;Fitotecnia
Antares Eletrônica Ltda;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
Inprenha Biotecnologia e Desenvolvimento Animal Ltda;Medicina Veterinária;Reprodução Animal
Virológica Soluções em Microbiologia Ltda (Virológica);Microbiologia;Microbiologia Aplicada
Verdartis Desenvolvimento Biotecnológico Ltda. - ME;Engenharia Química;Processos Industriais de Engenharia Química
Camelback Comércio de Pneus de Santos Ltda. - ME;Engenharia de Produção;Engenharia do Produto
Vivax Serviços Ltda;Engenharia Biomédica;Bioengenharia
Biopdi Indústria, Comércio, Importação e Exportação de Equipamentos Médicos Odontológicos Ltda;Engenharia Biomédica;Engenharia Médica
Noxt Indústria e Comércio de Produtos Eletrônicos Ltda;Engenharia Elétrica;Telecomunicações
Optolink Indústria e Comércio Sociedade Ltda;Engenharia Elétrica;Telecomunicações
Nantex Nanotecnologia Experimental Ltda;Física;Física da Matéria Condensada
Nanox Tecnologia S/A;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
EXA M Instrumentação Biomédica Ltda. - ME;Engenharia Biomédica;Engenharia Médica
Ranaville Agroindústria Ltda. - ME;Ciência e Tecnologia de Alimentos;Tecnologia de Alimentos
ISP Oil Indústria, Comércio e Tecnologia em Óleos Vegetais e Resinas Ltda;Engenharia Química;Tecnologia Química
Clansoft Desenvolvimento de Software Ltda;Ciência da Computação;Sistemas de Computação
Nucleogen Centro Biotecnológico Animal S/S;Medicina Veterinária;Reprodução Animal
Linax Indústria e Comércio de Óleos Essenciais Ltda;Agronomia;Fitotecnia
Colly Química Indústria e Comércio Ltda. - EPP;Engenharia Química;Tecnologia Química
Indústria de Artefatos de Borracha Esper Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Tramppo Comércio e Reciclagem de Produtos Industriais Ltda. - ME;Engenharia Química;Tecnologia Química
Sapra S/A;Engenharia Biomédica;Engenharia Médica
Mhnano Indústria e Desenvolvimento de Materiais Nanoestruturados Ltda. - ME;Engenharia de Materiais e Metalúrgica;Metalurgia Física
Sistema Ciclo Processamento Ltda. - ME;Ciência da Computação;Metodologia e Técnicas da Computação
Adest Técnicas para Soldagem de Metais Ltda;Engenharia Mecânica;Processos de Fabricação
ALG Tryon Indústria de Equipamentos Eletrônicos Ltda. - ME;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
Coss Soluções e Tecnologia Ltda;Saúde Coletiva;Saúde Pública
Flyever Indústria e Comércio de Equipamentos Eletrônicos Ltda. - EPP;Engenharia Civil;Construção Civil
D A Software e Serviços S/A;Ciência da Computação;Sistemas de Computação
Invent Biotecnologia Ltda. - ME;Bioquímica;Química de Macromoléculas
Lumintech Marcadores Ópticos Ltda;Química;Química Inorgânica
Keme Desenvolvimento e Comércio de Instrumentos Científicos Ltda;Química;Química Analítica
Reinaldo Alvarenga Bergamaschi - EPP;Ciência da Computação;Sistemas de Computação
Apis Flora Industrial e Comercial Ltda;Farmácia;Farmacognosia
Linkgen Biotecnologia Veterinária Ltda;Medicina Veterinária;Reprodução Animal
Nexxto Serviços em Tecnologia da Informação S/A;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
Opto Eletrônica S/A;Física;Física da Matéria Condensada
Big Tecnologia Equipamentos Industriais Ltda;Engenharia Mecânica;Projetos de Máquinas
Mobwise Consultoria em Engenharia e Softwares Ltda;Ciência da Computação;Sistemas de Computação
Geodez Consultoria em Cerâmica Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
CEMSA - Centro de Espectrometria de Massas Aplicada Ltda;Química;Química Analítica
Bellman Nutrição Animal Ltda;Microbiologia;Microbiologia Aplicada
Jhaady Indústria, Comércio, Importação e Exportação de Cosméticos Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Silvicontrol Monitoramento de Pragas e Doenças Florestais Ltda (SILVICONTROL);Agronomia;Fitossanidade
Beta Telecom Consultoria e Comércio Ltda;Engenharia Elétrica;Telecomunicações
Lychnoflora Pesquisa e Desenvolvimento em Produtos Naturais Ltda (Lychnoflora);Farmácia;Farmacognosia
Mhnano Indústria e Desenvolvimento de Materiais Nanoestruturados Ltda. - ME;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Balloon Indústria, Comércio, Exportação e Importação Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Al Sukkar Biotecnologia Industrial Ltda. - ME;Química;Química Analítica
Nanocore Biotecnologia Ltda. - EPP;Farmácia;Farmacotecnia
Musa Brasil Comércio de Produtos Artesanais Ltda;Engenharia Agrícola;Engenharia de Processamento de Produtos Agrícolas
Accert Pesquisa e Desenvolvimento em Química e Biotecnologia Ltda (ACCERT);Química;Química Orgânica
Recepta Biofarma S/A (Recepta);Imunologia;Imunologia Aplicada
Gentros Pesquisa e Desenvolvimento Ltda;Bioquímica;Biologia Molecular
Elabora Consultoria e Participações Ltda (Elabora);Ciência da Computação;Metodologia e Técnicas da Computação
Paulo Eduardo Silveira - ME;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
Nano Separation Technologies Indústria, Comércio e Representações Ltda;Química;Química Analítica
Nelis Evangelista Luiz - ME;Engenharia de Produção;Engenharia do Produto
Spectrum Line Prestações de Serviços Eletro-Eletrônicos Ltda;Engenharia Elétrica;Telecomunicações
Accure Technologies Intrumentos Ltda. - ME;Engenharia Mecânica;Projetos de Máquinas
Areda e Escudeiro Ltda. - ME;Farmácia;Farmacotecnia
PDA Inovações, Pesquisa e Desenvolvimento no Agronegócio Ltda;Química;Química Orgânica
Brasil Ozônio Indústria e Comércio de Equipamentos e Sistemas S/A;Engenharia Biomédica;Engenharia Médica
Proteobrás Desenvolvimento Biotecnológico Ltda (PROTEOBRÁS);Biofísica;Biofísica Molecular
Multivácuo Aeroespacial Ltda;Engenharia Aeroespacial;Materiais e Processos para Engenharia Aeronáutica, Aeroespacial
Ekion Tecnologia de Veículos Elétricos Ltda;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
Genotyping Laboratório de Biotecnologia Ltda (Genotyping);Genética;Genética Molecular e de Microorganismos
Virológica Soluções em Microbiologia Ltda (Virológica);Microbiologia;Microbiologia Aplicada
Vetdna Diagnósticos Moleculares Ltda (VetDNA);Genética;Genética Molecular e de Microorganismos
Fermentec Assistência Técnica em Fermentação Alcoólica Ltda;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
Unitech Projetos Pesquisas Desenvolvimento Consultoria Comércio Ltda;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
Saveway Comércio e Representações de Softwares Ltda;Engenharia de Produção;Gerência de Produção
DMC Importação e Exportação de Equipamentos Ltda;Engenharia Biomédica;Bioengenharia
EXA M Instrumentação Biomédica Ltda. - ME;Engenharia Biomédica;Engenharia Médica
Linax Indústria e Comércio de Óleos Essenciais Ltda;Medicina;Clínica Médica
Technes Agrícola Ltda (Technes);Engenharia Agrícola;Engenharia de Processamento de Produtos Agrícolas
BR Labs Indústria e Comércio em Sistemas de Lasers e Componentes Ópticos e Eletrônicos Ltda;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
