Empresa;Municipio
Tradeworks Servicos de Comercio Exterior Ltda;Campinas
3DSoft Consultoria Ltda. - ME;Sao Carlos
Santa Causa Ltda. - ME;Sao Paulo
Biomattech Inovacao Pesquisa e Desenvolvimento Ltda. - ME;Sao Carlos
Lace Servicos de Engenharia e Representacao Ltda;Sao Jose dos Campos
Cozo Tecnologia Ltda;Sao Paulo
Agertek Indústria e Comercio de Estruturas Eireli - ME;Sao Paulo
Reachr Solucões Inovadoras em RH Ltda;Sao Paulo
Sapra Landauer Servico de Assessoria e Protecao Radiologica Ltda;Sao Carlos
Inprenha Biotecnologia e Desenvolvimento Animal Ltda;Jaboticabal
Ibi Agentes Biologicos Ltda;Araras
Deepgreen's Lab Treinamentos Ltda;Sao Paulo
Breng Engenharia e Tecnologia Ltda;Sao Jose dos Campos
Cursor - Softwares para Identificacao e Controle Ltda;Sao Paulo
Bio Nano Indústria e Comercio de Derivados de Celulose Ltda. - ME;Sao Carlos
Andrea de Souza Stockl;Sao Paulo
Immersus Tecnologia Ltda - ME;Sao Paulo
InCeres Desenvolvimento de Software e Processamento de Dados S/A;Rio das Pedras
Medicina Nuclear de Campinas Ltda;Campinas
Oralls Importacao e Exportacao Comercial Ltda. - ME;Sao Jose dos Campos
Solferini Ltda;Lorena
Nervera Servicos de Informatica Ltda. - ME;Sao Paulo
Revolugenix Biotecnologia, Pesquisa e Desenvolvimento Ltda;Sao Paulo
Nchemi Engenharia de Materiais Ltda;Sao Carlos
Kolplast CI S/A;Itupeva
Shooper Comercio Alimenticios Ltda;Sao Paulo
LUCA - Ciencia para Educar Ltda. - ME;Sao Paulo
Legall Servicos Online Ltda. - ME;Sao Paulo
FCH Consultoria e Projetos de Engenharia Ltda;Sao Paulo
Microcontrol Innovation Ltda. - ME;Ribeirao Preto
Technomar Engenharia Ltda;Sao Paulo
Ibiotech Pesquisa e Desenvolvimento Ltda. - ME;Sao Paulo
Reciclapac Solucões para Embalagens Ltda;Sao Paulo
Integrare Aprendizagem e Treinamento Ltda. - ME;Campinas
R-Crio Criogenia S/A;Campinas
Sintegra Surgical Sciencies Ltda;Pompeia
Mmtech Projetos Tecnologicos Importacao e Exportacao Ltda;Sao Carlos
HXD Solucões em Midias Digitais Ltda. - ME;Barueri
Vital Brasil Chemical Indústria e Comercio de Produtos Quimicos Ltda. - ME;Barretos
Engtelco Engenharia de Telecomunicacões Ltda. - EPP;Sao Jose dos Campos
Eleve Pesquisa e Desenvolvimento Ltda;Ribeirao Preto
Terratecno Geotecnologias Ltda. - ME;Sao Paulo
Ana Rita de Toledo Piza Biotecnologia - ME;Sao Paulo
IDGeo Inteligencia em Dados Geograficos Ltda;Piracicaba
Immunogenic Assessoria e Diagnostico em Saúde Ltda - EPP;Sao Paulo
Bioativa Pesquisas e Compostos Bioativos Ltda;Botucatu
Sofia Nascimento dos Santos;Sao Paulo
La Data Analysis Pesquisa de Mercado Ltda. - ME;Sao Paulo
TEC3GEO Geotecnologias para o Meio Ambiente Ltda. - ME;Sao Paulo
Lace Servicos de Engenharia e Representacao Ltda;Sao Jose dos Campos
Fuba Educacao Ambiental e Criatividade Ltda. - ME;Sao Carlos
Brax Indústria e Comercio de Maquinas e Equipamentos Eletronicos Ltda;Rio Claro
Tropico Sistemas e Telecomunicacões da Amazonia Ltda (Filial);Campinas
5ecos Indústria de Maquinas e Equipamentos Ltda. - ME;Nova Odessa
Geneseq Servicos de Consultoria e Assessoria Genomica Ltda. - ME;Sao Paulo
Verdaz Gestao Sustentavel e Consultoria Ambiental Ltda (Verdaz);Sao Jose do Rio Preto
7 Waves do Brasil Ltda. - ME;Sorocaba
3HM Suportes de Equipamentos Esportivos Ltda. - ME;Santa Barbara D'Oeste
Trigene Consultoria, Importacao, Comercio de Produtos para Aquicultura Ltda;Aracatuba
Mupi Tecnologia e Servicos de Informacao Ltda. - ME;Sao Paulo
Moacyr Cardoso de Mello Filho - Pesquisa e Desenvolvimento - ME;Cotia
Centro de Servicos e Materiais Cerâmicos Ltda;Sao Carlos
Biosmart Nanotechnology Ltda;Araraquara
ODM Consultoria Empresarial Ltda;Sao Carlos
G&G Cosmetica Ltda. - ME;Ribeirao Preto
Gustavo Trindade Valio;Sao Carlos
Algae Biotecnologia Ltda (ALGAE);Sao Paulo
Biodiversita Servicos de Apoio Agricola Ltda. - ME;Jaguariúna
Byos Solucões Tecnologicas Ltda. - ME;Campinas
Noviga Partner Consultoria e Planejamento Financeiro Ltda. - ME;Campinas
Rodrigo Ribeiro - ME;Sao Paulo
Selenolife Pesquisa em Selenio p/ Vida Ltda;Sao Paulo
Cenamo Tecnologia Eireli;Sao Paulo
Portal Telemedicina Ltda;Sao Paulo
SciCrop Informacao e Tecnologia S/A;Sao Paulo
FITOMAP - Mapeamento Agricola Ltda. - ME;Campinas
Solve Biotechnology Ltda. - ME;Sao Carlos
Kairos Lab Ltda. - ME;Sao Carlos
Solve Biotechnology Ltda. - ME;Sao Carlos
Peixe do Mar Aquicultura Marinha Sustentavel Ltda. - ME;Campinas
Akaer Engenharia Ltda;Sao Jose dos Campos
NCB Sistemas Embarcados Ltda;Sao Jose dos Campos
BR Labs Tecnologia optica e Fotonica Ltda;Sao Carlos
Dizoo Servicos de Atividades Veterinarias Eireli - ME;Pirassununga
Hospimetal Indústria Metalúrgica de Equipamentos Hospitalares Ltda;Aracatuba
Bio Star Tech Desenvolvimento Ltda. - ME;Sorocaba
Igam4 Consultoria Cientifica e Tecnologica Ltda;Sao Paulo
Biosmart Nanotechnology Ltda;Araraquara
Mvisia Desenvolvimentos Inovadores Ltda;Sao Paulo
Tech Chrom Instrumentos Analiticos Ltda. - ME;Campinas
Enalta Inovacões Tecnologicas S/A;Sao Carlos
Treevia Servicos de Engenharia Ltda. - ME;Sao Jose dos Campos
Rubian Xtract Servicos Ltda;Campinas
Smartbio Desenvolvimento Tecnologico Ltda (Smartbio);Adamantina
Soudap Soldas Sanitarias Ltda. - EPP;Araraquara
CT&I Decisões e Acões Inteligentes Ltda. - ME;Sao Jose dos Campos
Patricia Milano - ME;Limeira
PPI Multitask Sistemas e Automacao Ltda;Sao Paulo
Plural Indústria e Comercio de Produtos Quimicos Ltda. - ME;Sao Carlos
Tambora Engenharia de Materiais Metalicos e Industriais Ltda;Campinas
Soraya El Khatib - EPP;Campinas
Selaz Indústria e Comercio de Aparelhos Biomecânicos Ltda (SELAZ);Sao Jose dos Campos
Salix Engenharia Ltda. - ME;Sao Paulo
Agrosmart S/A;Campinas
Sdamed Sistemas e Dispositivos Avancados para Medicina Ltda (SDAMed);Campinas
Douglas Wilian de Toledo;Itatiba
Agroconsult Estudos Setoriais Ltda;Sao Paulo
Opto Tecnologia Optronica Ltda;Sao Carlos
Lei List Pesquisa e Servicos de Tecnologia Eireli - EPP;Sao Paulo
Neomeshes Biomateriais Ltda. - ME;Brotas
Hoobox Robotics Tecnologia do Brasil Ltda. - ME;Campinas
Naked Monkey Ltda. - ME;Sao Paulo
Eolic Future Tecnologia Ltda;Sao Jose dos Campos
Gomez & Gomez Ltda. - ME;Sao Paulo
Simone Cristina Picchi;Araras
Toledo & Souza Engenharia Ltda;Sao Carlos
Luxtec Sistemas opticos Ltda;Campinas
BGE Medica Indústria e Comercio Ltda;Sao Paulo
Getninjas Atividades de Internet Ltda;Sao Paulo
Win-Win Traducões e Crowdfunding Ltda. - ME;Sao Jose do Rio Preto
Opto Tecnologia Optronica Ltda;Sao Carlos
Opto Tecnologia Optronica Ltda;Sao Carlos
Cassetari & Lucheta Biotecnologia Ltda. - ME;Piracicaba
Propark Paisagismo e Ambiente Ltda;Piracicaba
Marco Antonio Nardy - ME;Braganca Paulista
Biotox Analises Ambientais Ltda. - ME;Sao Carlos
4tree Agroflorestal Ltda;Piracicaba
Genotyping Laboratorio de Biotecnologia Ltda (Genotyping);Botucatu
Mellifera - Consultoria Tecnologica Eireli;Botucatu
Atmos Sistemas Ltda;Sao Paulo
Ibi Agentes Biologicos Ltda;Araras
Prevet Laboratorio de Diagnostico, Desenvolvimento e Sanidade Aquicola Ltda;Jaboticabal
Grana Tecnologia Eireli - ME;Sao Paulo
Clickideia Tecnologia Educacional Ltda. - EPP;Campinas
Biosmart Nanotechnology Ltda;Araraquara
Leona Indústria e Comercio de Materiais e Ligas Odontologicas e Medicas Ltda. - ME;Sao Bernardo do Campo
Sensormap Solucões em Geotecnologia Ltda. - EPP;Assis
Labmass Laboratory  Laboratorio de Analise Quimica, Consultoria e Treinamento Ltda. - ME;Campinas
Bioware Desenvolvimento e Tecnologia em Energia e Meio Ambiente Ltda;Campinas
Farmacore Biotecnologia Ltda (FARMACORE);Sao Paulo
Danielle Fernandes da Silva;Franca
Inreservoir Solutions - Projetos e Pesquisas em Ciencias e Engenharia de Petroleo Ltda;Campinas
D & D Desenvolvimento e Tecnologia Ltda;Sao Carlos
Juan Harold Sosa Arnao;Ribeirao Preto
Karla de Melo Lima - EPP;Campinas
Compplied Computacao Aplicada S/A;Santana de Parnaiba
Eclison Dutra Nepunuceno Apoio Empresarial - ME;Holambra
It Fast Consultoria em TI Ltda. - ME;Sao Jose dos Campos
Bridge Games Desenvolvimento de Programas Ltda. - ME;Sao Paulo
Direct Talk Comercio e Tecnologia S/A;Sao Paulo
Itatijuca Biotech Ltda;Sao Paulo
Vetra Pesquisa e Desenvolvimento de Produtos Cerâmicos de Alta Tecnologia Ltda;Sao Carlos
Victor Vision Indústria, Comercio, Importacao e Exportacao de Equipamentos Medicos Odontologicos Ltda;Sao Carlos
H2O Company Gestao em Sustentabilidade Ltda. - ME;Sao Paulo
Emanuel Thales Lara Piza;Campinas
SmarToys Ltda. - ME;Sorocaba
Geoambiente Sensoriamento Remoto Ltda;Sao Jose dos Campos
Entelekia Tecnologias do Conhecimento Ltda;Sao Paulo
Wirebus Equipamentos Industriais Eireli - ME;Dumont
Akaer Engenharia Ltda;Sao Jose dos Campos
Exclusif Ltda. - EPP;Ribeirao Preto
Laboratorio Biosintesis P & D do Brasil Ltda;Sao Paulo
Enterup Tecnologia em Sistemas Ltda - ME;Sao Jose do Rio Preto
Colly Quimica Indústria e Comercio Ltda. - EPP;Capivari
Lace Servicos de Engenharia e Representacao Ltda;Sao Jose dos Campos
Citi Industrial Systems Eireli - EPP;Sorocaba
Algae Biotecnologia Ltda (ALGAE);Sao Paulo
PNCA Indústria, Comercio de Equipamentos Roboticos e Eletronicos Ltda;Sao Carlos
FGR Servicos Administrativos Ltda;Sao Paulo
Smart Yeast - Pesquisa e Desenvolvimento Ltda;Piracicaba
Chipsafer Inovacões Tecnologicas Ltda. - ME;Sao Paulo
R4F Tecnologia em Telecomunicacões Ltda;Campinas
Poligene Comercio e Servicos Ltda. - ME;Rio Claro
OMNI Eletronica, Engenharia e Comercio Ltda;Sao Paulo
DC Quimica, Representacao e Comercio de Produtos Quimicos Ltda;Sao Caetano do Sul
Avita Produtos Quimicos Farmaceuticos Ltda;Ribeirao Preto
Cotaltec Pesquisa e Desenvolvimento Ltda;Limeira
Agencia Brasileira de Meteorologia Ltda;Sao Paulo
Biblioteca de Compostos Orgânicos Pesquisas e Analises em Quimica;Campinas
Alex Humberto Calori - ME;Mococa
Meta Consultoria em Agro Negocios Ltda;Sao Paulo
Nathalia Camillo da Silva;Sao Carlos
Neoinfinito Softwares - Eireli;Sao Carlos
Immunocamp Comercio de Produtos Hospitalares Ltda;Vinhedo
Nanomed Nanotecnologia em Saúde e Bem-Estar Eireli;Sao Carlos
Politeconaco Industrial Ltda;Aracariguama
A P Tonon Bioquimica;Barretos
Ciaware Centro de Informatizacões e Analises Ltda;Ribeirao Preto
Tozemart Tecnologia da Informacao Ltda;Campinas
Inframax Engenharia, Comercio e Servicos Ltda;Campinas
In Vitro Brasil Clonagem Animal S/A;Mogi Mirim
Contart Tecnologia e Gestao em Informatica Ltda;Santana de Parnaiba
FK - Brasil Engenharia e Comercio de Aeronaves Ltda;Sao Jose dos Campos
Brazil Beef Quality Ltda. - ME;Piracicaba
Cipolli Automacao e Manutencao Ltda. - ME;Sao Carlos
Engine Logistica Ltda;Sao Paulo
BR Labs Tecnologia optica e Fotonica Ltda;Sao Carlos
Xeduca Solucões Tecnologicas Ltda. - ME;Sao Paulo
Promip Comercio, Pesquisas e Desenvolvimento de Agentes Biologicos Ltda (PROMIP);Engenheiro Coelho
Ciclo Farma Indústria Quimica Eireli;Serrana
Desh Tecnologia Ltda;Sao Paulo
Rubian Xtract Servicos Ltda;Campinas
Carbosolo Desenvolvimento Agricola Ltda;Sao Paulo
Circuitar Eletronicos, Importacao e Exportacao Ltda. - ME;Sao Carlos
Alchemy Inovacao, Pesquisa e Desenvolvimento Ltda;Santana de Parnaiba
Piaram Produtos Nanotecnologicos, Assessoria, Pesquisa e Desenvolvimento de Produtos e Processos Quimicos Ltda;Campinas
Agrobiologica Solucões Eireli;Leme
NTU Software Technology Ltda;Sao Paulo
Extremus Smart Surface - Tratamentos de Superficie Ltda;Sao Carlos
OMNI Eletronica, Engenharia e Comercio Ltda;Sao Paulo
C O Egalon Consultoria - ME;Sao Jose dos Campos
Promac Equipamentos Ms Ltda;Sumare
Medtech Servicos de Informatica Ltda;Sao Paulo
Pullup Solucões Sistemas Eletronicos Ltda;Sao Paulo
CL Empreendimentos Biologicos Ltda. - EPP;Piracicaba
Autaza Tecnologia S/A;Sao Jose dos Campos
Atrium Assessoria Florestal Ltda;Piracicaba
Microbioticos Analises Laboratoriais Ltda;Sao Paulo
Tecnal Indústria, Comercio, Importacao e Exportacao de Equipamentos para Laboratorio Ltda;Piracicaba
Bio Controle Metodos de Controle de Pragas Ltda;Sao Paulo
Plateinnove Biotechnology Pesquisas Ltda;Piracicaba
Sigmed Equipamentos Eletronicos Ltda. - EPP;Ribeirao Preto
Ibire Solucões Empresariais Ltda;Sao Paulo
Amanda Juliao da Costa - ME;Sao Carlos
Agencia Brasileira de Meteorologia Ltda;Sao Paulo
Tecno-How Engenharia Industrial e Comercio Ltda;Sao Paulo
Leverage Usinagem e Comercio Ltda;Vinhedo
Biocelere Agroindustrial Ltda;Campinas
Compsis Computadores Sistemas Indústria e Comercio Ltda;Sao Jose dos Campos
Vetra Pesquisa e Desenvolvimento de Produtos Cerâmicos de Alta Tecnologia Ltda;Sao Carlos
Hyco Compostos Hibridos Eireli - ME;Sao Carlos
Brats Indústria e Comercio de Produtos Metalicos Especiais Ltda. - ME;Cajamar
Jose Carlos de Jesus Bertacini - ME;Sao Carlos
Bioativos Naturais Ltda. - ME;Sao Paulo
Luiz Maria Guimaraes Esmanhoto;Sao Paulo
Koppert do Brasil Holding Ltda (Koppert);Piracicaba
NGS Solucões Genomicas Eireli - ME;Piracicaba
Rossa Inovacao em Produtos Eireli;Sao Paulo
Oikos Biotecnologia - Agentes de Controle Biologico, Servico de Pulverizacao;Jaboticabal
Nchemi Engenharia de Materiais Ltda;Sao Carlos
Labmaq do Brasil Ltda;Ribeirao Preto
Dana Agro Science Ltda;Taruma
Spectrum Line Prestacões de Servicos Eletro-Eletronicos Ltda;Campinas
Led Visual Medica Ltda. - ME;Araraquara
Acta Visio Desenvolvimento em Visao Computacional Ltda;Campinas
Farm Solutions - Monitoramento Ltda;Pereiras
AGA Consultoria e Desenvolvimento de Projetos Tecnico-Cientificos Ltda. - ME;Sao Jose do Rio Preto
ADP agua de Prata Tecnologia em Solucões Metalicas Ltda;Sao Paulo
TS Pharma Solucões Farmaceuticas Ltda. - ME;Valinhos
DC Quimica, Representacao e Comercio de Produtos Quimicos Ltda;Sao Caetano do Sul
Jose Antonio Pio Cintra Filho;Jacarei
Sureale Solucões em Tecnologia da Informacao Ltda. - ME;Sao Carlos
Marcelo Victor Pires Sousa Desenvolvimento Tecnologico Fotomedicina - ME;Sao Paulo
Innolution Sistemas de Informatica Ltda;Ribeirao Preto
ALS Laboratorios LS Ltda;Sao Paulo
Sistemas Inteligentes em Telecomunicacões Ltda;Taquaral
SmartPills Servicos de Informacao Ltda. - ME;Sao Paulo
Dominio Tecnologia Quimica Ltda. - ME;Pindorama
eFitFashion Tecnologia para Vestuario Ltda;Sao Paulo
Zetesis Tecnologia Educacional Ltda;Sao Paulo
Laboratorio Biosintesis P & D do Brasil Ltda;Sao Paulo
Carlos Eduardo Matos dos Santos - ME;Sao Paulo
Labmaq do Brasil Ltda;Ribeirao Preto
SpeechTera Desenvolvimento de Programas para Computadores Ltda;Araras
Kidopi Solucões em Informatica Medica Ltda (Kidopi);Ribeirao Preto
Nchemi Engenharia de Materiais Ltda;Sao Carlos
Minaplan Comercio e Servicos Ltda;Sao Paulo
Seip 7 Indústria e Comercio de Maquinas Ltda. - ME;Sorocaba
Rafael Mira de Oliveira Libardi Eireli - ME;Ribeirao Preto
Luxray Tecnologia Ltda;Sao Jose dos Campos
Nano Orgânica Solucões Cientificas e Tecnologicas Ltda. - ME;Sao Paulo
Simulate Tecnologia de Simulacao Ltda. - EPP;Sao Caetano do Sul
Concierge Blindado Servicos Automotivos Ltda;Sao Paulo
OMNI Eletronica, Engenharia e Comercio Ltda;Sao Paulo
Laboratorio Vitafort Indústria e Comercio Produtos Veterinarios Ltda;Ribeirao Preto
XMobots Aeroespacial e Defesa Ltda. - ME (XMobots);Sao Carlos
Sistema Ciclo Processamento Ltda. - ME;Cotia
In Situ Terapia Celular Ltda;Paulinia
Celso Tomazin Junior;Piracicaba
Rafael Fernando dos Santos;Botucatu
Onkos Diagnosticos Moleculares Ltda. - ME;Ribeirao Preto
ReliaSoft Brasil Ltda;Sao Paulo
IQX Inove Qualyx Tecnologia e Desenvolvimento em Resinas Ltda;Valinhos
Quantum Comercio e Servicos de Tecnologia e Inovacao Ltda;Campinas
Instituto Cidade Jardim Ltda. - ME;Itu
Sensorial Desenvolvimento de Software Ltda. - ME;Ribeirao Preto
Innowatt Desenvolvimento e Servicos Ltda;Sertaozinho
Chronuscamp Research Analises Termocronologicas Ltda;Itapira
Onion Tecnologia Ltda. - ME;Sao Carlos
Embriofert Clinica Medica Hospitalar Ltda;Sao Paulo
Maria Luisa Lopes de Faria;Sao Paulo
Henbak Tecnologia, Comercio e Servicos - Eireli;Sao Paulo
Ivano Jose Cunha 01642884812;Santa Barbara D'Oeste
Lace Servicos de Engenharia e Representacao Ltda;Sao Jose dos Campos
Sagitta - Consultoria em Projetos de Energia Renovavel Ltda;Campinas
Cassio Ramos Aquicultura e Comercio - ME;Sao Paulo
Mocap Brasil Servicos em Tecnologia Ltda;Diadema
SciPet Solucões em Inovacao Tecnologica Ltda;Campinas
BR3 S/A;Sao Paulo
Eleve Pesquisa e Desenvolvimento Ltda;Ribeirao Preto
Symbiotec - Aquicultura e Sistemas Integrados de Producao Ltda;Piracicaba
Sergio Fernando Tadeu - ME;Santos
Fisher Piscicultura agua Vermelha Ltda;Riolândia
PHI Innovations Sistemas Eletronicos Ltda;Campinas
Logalytics Processamento de Dados Ltda;Sao Paulo
Wisersoft Tecnologia em Sistemas Ltda. - ME;Jacarei
Biotec Solucao Ambiental, Indústria e Comercio Ltda. - EPP;Sao Jose dos Campos
RF COM Sistemas Ltda;Sao Jose dos Campos
Pocket Health Lab Ltda. - ME;Santo Andre
Ziel Biosciences Pesquisa, Desenvolvimento e Diagnostico Ltda;Sao Paulo
Geosurv Engenharia e Geomatica Ltda. - ME;Sao Paulo
RVT Servicos Administrativos Ltda. - ME;Sao Jose dos Campos
Nelis Evangelista Luiz - ME;Sao Paulo
Orbital Engenharia S/A;Sao Jose dos Campos
Comercio, Importacao e Exportacao Bioscan Ltda;Itu
Setup Automacao e Controle de Processos Ltda;Campinas
Luxtec Sistemas opticos Ltda;Campinas
Nanomed Nanotecnologia em Saúde e Bem-Estar Eireli;Sao Carlos
Marco Antonio Barboza - ME;Campinas
DEV Tecnologia, Indústria, Comercio, Manutencao de Equipamentos Ltda. - ME;Sao Paulo
TEC3GEO Geotecnologias para o Meio Ambiente Ltda. - ME;Sao Paulo
Solucões e Instrumentacões Avancadas Ltda. - ME;Sao Paulo
ESB Consultoria em Servicos Biologicos Ltda;Santana de Parnaiba
Cellco Biotec do Brasil Ltda;Sao Carlos
Victor Vision Indústria, Comercio, Importacao e Exportacao de Equipamentos Medicos Odontologicos Ltda;Sao Carlos
GPS Agrimensora Eireli - EPP;Sao Paulo
Tau Flow Engenharia;Campinas
Afinko Solucões em Polimeros Ltda;Sao Carlos
G Todesco Tecnologia;Sorocaba
Finamac Arpifrio Engenharia e Industrializacao de Equipamentos Industriais Ltda (Finamac);Santo Andre
Atenatec Solucões Tecnologicas Ltda. - ME;Sao Carlos
Nanofitotec Inovacao em Fitoterapicos Eireli;Sao Paulo
Provazzi - Consultoria e Desenvolvimento de Projetos Tecnico-Cientificos Ltda;Sao Jose do Rio Preto
CAA Tecnologia da Informacao Ltda. - EPP;Botucatu
Medical Cirúrgica Ltda. - EPP;Sao Paulo
Soraya El Khatib - EPP;Campinas
Cron Sistemas e Tecnologias Ltda. - EPP;Sao Jose dos Campos
Keme Desenvolvimento e Comercio de Instrumentos Cientificos Ltda;Campinas
Dynamis Indústria e Comercio Ltda. - ME;Ferraz de Vasconcelos
i-Healthsys Produtos Medicos Ltda;Sao Carlos
Phelcom Technologies Ltda. - ME;Sao Carlos
LABTERMO Consultoria Microbiologica Ltda;Campinas
L+M Gets Arquitetura e Construcao Ltda;Sao Paulo
Timpel S/A;Sao Paulo
Fit Comercio, Importacao e Exportacao de Maquinas e Equipamentos Odonto-Medicos Hospitalares e Laboratoriais Ltda;Sao Carlos
LCR Kimera Biotecnologia Ltda;Ribeirao Preto
GPS Agrimensora Eireli - EPP;Sao Paulo
Proinsecta Pesquisa e Desenvolvimento Ltda. - ME;Piracicaba
Aptor Consultoria e Desenvolvimento de Software Ltda. - ME;Sao Carlos
Iacit Solucões Tecnologicas Ltda (IACIT);Sao Jose dos Campos
Time Energy Indústria e Comercio Eireli - EPP;Campinas
Kryptus Seguranca da Informacao Ltda;Campinas
Altave Indústria, Comercio e Exportacao de Aeronaves S/A;Sao Jose dos Campos
Altave Indústria, Comercio e Exportacao de Aeronaves S/A;Sao Jose dos Campos
Scheme Lab Propriedade Industrial S/S Ltda;Sao Paulo
Incon Eletronica Ltda. - EPP;Sao Carlos
Tecplas Indústria e Comercio Ltda. - EPP;Sao Jose dos Campos
Iacit Solucões Tecnologicas Ltda (IACIT);Sao Jose dos Campos
Quintas Indústria e Comercio de Balancas Ltda;Rancharia
Compsis Computadores Sistemas Indústria e Comercio Ltda;Sao Jose dos Campos
Susten Indústria e Comercio de Produtos Alimenticios Eireli;Aluminio
Selaz Indústria e Comercio de Aparelhos Biomecânicos Ltda (SELAZ);Sao Jose dos Campos
Saveway Comercio e Representacões de Softwares Ltda;Campinas
One Sports Ltda. - ME;Sorocaba
Solve Biotechnology Ltda. - ME;Sao Carlos
Cellco Biotec do Brasil Ltda;Sao Carlos
Finamac Arpifrio Engenharia e Industrializacao de Equipamentos Industriais Ltda (Finamac);Santo Andre
Techduto Indústria e Comercio de Maquinas e Artefatos de Plasticos Ltda;Sao Jose dos Campos
Alltec Indústria de Componentes em Materiais Compostos Importacao Exportacao Ltda;Sao Jose dos Campos
Alltec Indústria de Componentes em Materiais Compostos Importacao Exportacao Ltda;Sao Jose dos Campos
Altave Indústria, Comercio e Exportacao de Aeronaves S/A;Sao Jose dos Campos
Altave Indústria, Comercio e Exportacao de Aeronaves S/A;Sao Jose dos Campos
Kryptus Seguranca da Informacao Ltda;Campinas
Sensycal Instrumentos e Sistemas Ltda;Sao Paulo
Playax Internet Ltda;Sao Paulo
Scipopulis Desenvolvimento e Analise de Dados Ltda;Sao Paulo
Natural Products & Technologies Ltda. - ME;Rafard
Tey Indústria e Comercio Ltda. - ME;Sorocaba
Percebe Pesquisa Consultoria e Treinamento Educacional S/C Ltda. - ME;Sao Paulo
Braile Biomedica Indústria, Comercio e Representacões Ltda;Sao Jose do Rio Preto
Mmtech Projetos Tecnologicos Importacao e Exportacao Ltda;Sao Carlos
Inprenha Biotecnologia e Desenvolvimento Animal Ltda;Jaboticabal
Oralls Importacao e Exportacao Comercial Ltda. - ME;Sao Jose dos Campos
Multivacuo Aeroespacial Ltda;Sao Jose dos Campos
Ecoplas Equipamentos Industriais Ltda;Mogi Guacu
Reciclapac Solucões para Embalagens Ltda;Sao Paulo
Techa Engenharia Ltda. - ME;Piracicaba
Immunogenic Assessoria e Diagnostico em Saúde Ltda - EPP;Sao Paulo
Pensabio Instrumentos de Biotecnologia Ltda;Sao Paulo
Siaa Desenvolvimento de Sistemas Eireli - ME;Sao Paulo
Apis Flora Industrial e Comercial Ltda;Ribeirao Preto
Itera Inovacao e Desenvolvimento Tecnologico Ltda. - ME;Sao Carlos
Quantum Biotecnologia, Equipamentos, Servicos de Laboratorio Ltda. - ME;Sao Carlos
Kopp Pesquisa e Desenvolvimento Cientifico Ltda. - ME;Sao Carlos
Vital Brasil Chemical Indústria e Comercio de Produtos Quimicos Ltda. - ME;Barretos
Bioativos Naturais Ltda. - ME;Sao Paulo
Saveway Comercio e Representacões de Softwares Ltda;Campinas
Versor Inovacao Tecnologica Ltda;Santo Andre
Imunotera Solucões Terapeuticas Ltda. - EPP;Sao Paulo
KartFly Entretenimento Ltda;Campinas
Ibi Agentes Biologicos Ltda;Araras
Cogneti-Tec Sistemas Ltda. - ME;Campinas
Braincare Desenvolvimento e Inovacao Tecnologica Ltda;Sao Carlos
Time Energy Indústria e Comercio Eireli - EPP;Campinas
Eccaplan Consultoria em Desenvolvimento Sustentavel Ltda. - ME;Sao Paulo
Rae Electric Engenharia, Pesquisa e Comercio Ltda. - ME;Santo Andre
Brunoro e Orsatti Pesquisa e Desenvolvimento Ltda;Sao Paulo
Bio Proj Tecnologia Ambiental Ltda;Sao Carlos
AGA Consultoria e Desenvolvimento de Projetos Tecnico-Cientificos Ltda. - ME;Sao Jose do Rio Preto
Hoobox Robotics Tecnologia do Brasil Ltda. - ME;Campinas
Dualtronics Indústria de Maquinas Ltda;Sao Carlos
INVITRA - Tecnologia da Reproducao Assistida Ltda;Ribeirao Preto
Raifa Sistemas de Informatica Ltda. - ME;Sao Jose dos Campos
Venbion Servicos de Laboratorio Ltda;Santana de Parnaiba
Aeroteste Solucões em Aviacao Ltda;Sao Jose dos Campos
CFLEX MPC Desenvolvimento e Comercializacao de Sistemas Limitada;Campinas
Milton Flavio de Macedo Comercio de Equipamentos Medicos Eletronicos;Jundiai
Terrafisica Inovacões Sismologicas Ltda;Sao Paulo
Marco Antonio Nardy - ME;Braganca Paulista
PDT Pharma Indústria e Comercio de Produtos Farmaceuticos Ltda. - EPP;Cravinhos
Terrafisica Inovacões Sismologicas Ltda;Sao Paulo
Kosmoscience Consultoria e Assessoria Tecnica em Cosmeticos Ltda (KosmoScience);Valinhos
M&A Tecnologia e Servicos Ltda;Sorocaba
Simone Cristina Picchi;Araras
A Atual Indústria e Comercio de Aquecedores Solares Ltda;Mogi Guacu
One Sports Ltda. - ME;Sorocaba
CHEM4U Indústria e Comercio de Equipamento e Produtos Quimicos Ltda. - ME;Sao Paulo
Itatijuca Biotech Ltda;Sao Paulo
Aredes Equipamentos Hospitalares Ltda;Sao Jose dos Campos
B&M Pesquisa e Desenvolvimento Ltda. - EPP;Campinas
Xastre Peternela Consultoria Ltda. - ME;Campinas
Mellifera - Consultoria Tecnologica Eireli;Botucatu
M C Tech Biotecnologia Ltda;Ribeirao Preto
Nexlab Solucões Tecnologicas Ltda. - ME;Sao Paulo
Scipopulis Desenvolvimento e Analise de Dados Ltda;Sao Paulo
Techduto Indústria e Comercio de Maquinas e Artefatos de Plasticos Ltda;Sao Jose dos Campos
DB Genetica Servicos Laboratoriais Ltda. - ME;Sao Paulo
